seasonStartYear,awayTeam,pointsAway,homeTeam,pointsHome,attendance,notes,startET,Arena,datetime,isRegular,game_id,homeTeam_abb,awayTeam_abb,MatchUp,bs_url,pbp_url
2023,Philadelphia 76ers,135.0,Charlotte Hornets,82.0,17829.0,,7:00p,Spectrum Center,2023-12-16,1,365,CHA,PHI,PHI@CHA,https://www.basketball-reference.com/boxscores/202312160CHA.html,https://www.basketball-reference.com/boxscores/pbp/202312160CHA.html
2023,Atlanta Hawks,119.0,Cleveland Cavaliers,127.0,19432.0,,7:30p,Rocket Mortgage Fieldhouse,2023-12-16,1,366,CLE,ATL,ATL@CLE,https://www.basketball-reference.com/boxscores/202312160CLE.html,https://www.basketball-reference.com/boxscores/pbp/202312160CLE.html
2023,Chicago Bulls,116.0,Miami Heat,118.0,19815.0,,8:00p,Kaseya Center,2023-12-16,1,367,MIA,CHI,CHI@MIA,https://www.basketball-reference.com/boxscores/202312160MIA.html,https://www.basketball-reference.com/boxscores/pbp/202312160MIA.html
2023,Indiana Pacers,109.0,Minnesota Timberwolves,127.0,18024.0,,8:00p,Target Center,2023-12-16,1,368,MIN,IND,IND@MIN,https://www.basketball-reference.com/boxscores/202312160MIN.html,https://www.basketball-reference.com/boxscores/pbp/202312160MIN.html
2023,Brooklyn Nets,120.0,Golden State Warriors,124.0,18064.0,,8:30p,Chase Center,2023-12-16,1,369,GSW,BRK,BRK@GSW,https://www.basketball-reference.com/boxscores/202312160GSW.html,https://www.basketball-reference.com/boxscores/pbp/202312160GSW.html
2023,Oklahoma City Thunder,118.0,Denver Nuggets,117.0,19611.0,,9:00p,Ball Arena,2023-12-16,1,370,DEN,OKC,OKC@DEN,https://www.basketball-reference.com/boxscores/202312160DEN.html,https://www.basketball-reference.com/boxscores/pbp/202312160DEN.html
2023,Dallas Mavericks,131.0,Portland Trail Blazers,120.0,18439.0,,9:00p,Moda Center,2023-12-16,1,371,POR,DAL,DAL@POR,https://www.basketball-reference.com/boxscores/202312160POR.html,https://www.basketball-reference.com/boxscores/pbp/202312160POR.html
2023,Utah Jazz,104.0,Sacramento Kings,125.0,17794.0,,10:00p,Golden 1 Center,2023-12-16,1,372,SAC,UTA,UTA@SAC,https://www.basketball-reference.com/boxscores/202312160SAC.html,https://www.basketball-reference.com/boxscores/pbp/202312160SAC.html
2023,New York Knicks,122.0,Los Angeles Clippers,144.0,19370.0,,10:30p,Crypto.com Arena,2023-12-16,1,373,LAC,NYK,NYK@LAC,https://www.basketball-reference.com/boxscores/202312160LAC.html,https://www.basketball-reference.com/boxscores/pbp/202312160LAC.html
2023,Detroit Pistons,114.0,Milwaukee Bucks,146.0,17666.0,,6:00p,Fiserv Forum,2023-12-16,1,374,MIL,DET,DET@MIL,https://www.basketball-reference.com/boxscores/202312160MIL.html,https://www.basketball-reference.com/boxscores/pbp/202312160MIL.html
